Country,gdp,,pts,,,,,
Grenada,1.89,,0.931,,,,,
Guatemala,167.792,,1.492,,,,,
Guinea,39.195,,1.469,,,,,
Guinea-Bissau,4.865,,0.95,,,,,
Guyana,19.979,,0.789,,,,,
Haiti,36.096,,1.505,,,,,
Honduras,62.919,,1.53,,,,,
Hong Kong SAR,488.461,,1.086,,,,,
Hungary,361.996,,1.644,,,,,
Iceland,22.115,,0.966,,,,,
India,"10,193.54",,0.941,,,,,
Indonesia,"3,566.26",,0.937,,,,,
Islamic Republic of Iran,"1,449.33",,2.13,,,,,
Iraq,447.904,,1.63,,,,,
Israel,437.075,,1.288,,,,,
Italy,"2,734.61",,2.237,,,,,
Jamaica,29.802,,1.263,,,,,
Japan,"5,606.55",,2,,,,,
Jordan,112.463,,1.436,,,,,
Kazakhstan,543.437,,0.735,,,,,
Kenya,276.281,,1.23,,,,,
Korea,"2,517.13",,2.126,,,,,
Kosovo,23.056,,0.333,,,,,
Kuwait,213.164,,1.703,,,,,
Kyrgyz Republic,35.256,,1.282,,,,,
Lao P.D.R.,62.642,,0.464,,,,,
Latvia,65.589,,0.953,,,,,
Lesotho,5.846,,0.615,,,,,
Liberia,7.959,,1,,,,,
Libya,147.144,,1.339,,,,,
Lithuania,119.865,,0.864,,,,,
Luxembourg,83.704,,0.239,,,,,
Macao SAR,48.591,,0.378,,,,,
Madagascar,46.447,,1.143,,,,,
Malawi,32.444,,0.985,,,,,
Malaysia,971.274,,1.188,,,,,
Maldives,10.365,,0.75,,,,,
Mali,51.033,,1.458,,,,,
Malta,25.808,,0.188,,,,,
Mauritania,26.943,,0.5,,,,,
Mauritius,28.157,,0.3,,,,,
Mexico,"2,669.06",,2.138,,,,,
Moldova,39.102,,0.412,,,,,
Mongolia,42.915,,0.792,,,,,
Montenegro,14.104,,1.3,,,,,
Morocco,333.242,,1.79,,,,,
Mozambique,43.231,,1,,,,,
Myanmar,238.301,,0.773,,,,,
Namibia,25.399,,0.94,,,,,
Nepal,126.44,,0.579,,,,,
Netherlands,"1,095.45",,2.17,,,,,
New Zealand,238.148,,1.882,,,,,
Nicaragua,42.437,,1.12,,,,,
Niger,32.928,,1.083,,,,,
Nigeria,"1,154.07",,1.946,,,,,
North Macedonia,37.21,,1.042,,,,,
Norway,383.373,,1.324,,,,,
Oman,170.396,,1.568,,,,,
Pakistan,"1,332.56",,0.125,,,,,
Panama,138.809,,1.228,,,,,
Papua New Guinea,35.149,,1.269,,,,,
Paraguay,100.901,,1.419,,,,,
Peru,474.373,,1.137,,,,,
Philippines,"1,012.71",,0.897,,,,,
Poland,"1,437.81",,1.75,,,,,
Portugal,379.694,,1.906,,,,,
Puerto Rico,120.513,,0.966,,,,,
Qatar,274.249,,1.617,,,,,
Ireland,570.717,,1.477,,,,,
Romania,651.635,,1.775,,,,,
Russia,"4,494.22",,2.112,,,,,
Rwanda,33.111,,0.773,,,,,
Samoa,1.162,,1.077,,,,,
San Marino,2.22,,0.026,,,,,
Saudi Arabia,"1,751.18",,2.022,,,,,
Senegal,64.809,,1.676,,,,,
St. Kitts and Nevis,1.377,,1.389,,,,,
St. Lucia,2.575,,0.917,,,,,
Serbia,148.678,,2.029,,,,,
Seychelles,3.136,,0.125,,,,,
St. Vincent and the Grenadines,1.557,,0.855,,,,,
Sierra Leone,14.937,,0.957,,,,,
Singapore,635.266,,0.974,,,,,
Slovak Republic,193.619,,1.676,,,,,
Slovenia,93.137,,1.444,,,,,
Solomon Islands,1.632,,1.368,,,,,
Somalia,18.904,,0.462,,,,,
South Africa,868.576,,1.875,,,,,
South Sudan,11.947,,0.5,,,,,
Spain,"1,983.11",,2.296,,,,,
Sri Lanka,325.838,,0.462,,,,,
Sudan,194.509,,0.958,,,,,
Suriname,9.865,,1.159,,,,,
Sweden,622.826,,1.979,,,,,
Switzerland,674.013,,1.721,,,,,
Syria,n/a,,1.52,,,,,
Taiwan Province of China,"1,465.54",,1.311,,,,,
Tajikistan,41.806,,1.341,,,,,
Tanzania,185.463,,1,,,,,
Thailand,"1,343.29",,1.021,,,,,
Timor-Leste,5.729,,0,,,,,
Togo,20.179,,1.254,,,,,
Tonga,0.634,,1,,,,,
Trinidad and Tobago,37.813,,1.418,,,,,
Tunisia,138.392,,1.929,,,,,
Türkiye,"2,953.94",,1.338,,,,,
Turkmenistan,108.694,,1.413,,,,,
Tuvalu,0.057,,0.25,,,,,
Uganda,118.045,,1.312,,,,,
Ukraine,588.448,,1.775,,,,,
United Arab Emirates,724.067,,1.517,,,,,
United States,"22,996.08",,1.738,,,,,
Uruguay,85.858,,1.61,,,,,
Uzbekistan,296.689,,1.775,,,,,
Vanuatu,0.847,,1.054,,,,,
Venezuela,168.456,,0.696,,,,,
Vietnam,"1,134.02",,0.966,,,,,
Yemen,61.742,,0.897,,,,,
Zambia,69.245,,1.588,,,,,
Zimbabwe,36.626,,1.217,,,,,
,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2022",,,,,,,,
