Country,value,type,pts
Slovenia,60.143,Population (millions),4
South Africa,22.156,Population (millions),10
Spain,0.182,Population (millions),110
Sweden,10.452,Population (millions),70
Switzerland,8.67,Population (millions),50
Togo,8.49,Population (millions),0
Trinidad and Tobago,1.407,Population (millions),1
Tunisia,12.019,Population (millions),14
T¸rkiye,84.68,Population (millions),16
Ukraine,41.077,Population (millions),7
United Arab Emirates,10.187,Population (millions),0
United States,332.183,Population (millions),35
Uruguay,3.543,Population (millions),88
Algeria,37.128,Expenditure/GDP,12
Angola,19.394,Expenditure/GDP,2
Argentina,37.832,Expenditure/GDP,157
Australia,42.318,Expenditure/GDP,16
Austria,55.979,Expenditure/GDP,40
Belgium,54.912,Expenditure/GDP,73
Bolivia,34.398,Expenditure/GDP,1
Bosnia and Herzegovina,40.169,Expenditure/GDP,3
Brazil,35.942,Expenditure/GDP,247
Bulgaria,40.42,Expenditure/GDP,17
Cameroon,16.523,Expenditure/GDP,23
Canada,46.001,Expenditure/GDP,0
Chile,33.466,Expenditure/GDP,40
China,32.713,Expenditure/GDP,0
Colombia,34.513,Expenditure/GDP,30
Costa Rica,20.95,Expenditure/GDP,23
CÙte d'Ivoire,20.859,Expenditure/GDP,10
Croatia,49.248,Expenditure/GDP,44
Czech Republic,46.482,Expenditure/GDP,41
Denmark,50.81,Expenditure/GDP,33
Ecuador,35.51,Expenditure/GDP,17
Egypt,25.965,Expenditure/GDP,2
El Salvador,32.016,Expenditure/GDP,0
France,59.052,Expenditure/GDP,130
Germany,51.253,Expenditure/GDP,225
Ghana,25.681,Expenditure/GDP,18
Greece,56.871,Expenditure/GDP,8
Haiti,10.838,Expenditure/GDP,0
Honduras,28.424,Expenditure/GDP,3
Hungary,47.919,Expenditure/GDP,48
Iceland,49.234,Expenditure/GDP,1
Indonesia,18.212,Expenditure/GDP,0
Islamic Republic of Iran,12.378,Expenditure/GDP,13
Ireland,36.052,Expenditure/GDP,14
Iraq,24.821,Expenditure/GDP,0
Israel,40.388,Expenditure/GDP,2
Italy,55.45,Expenditure/GDP,156
Jamaica,29.503,Expenditure/GDP,3
Japan,42.52,Expenditure/GDP,27
Korea,25.845,Expenditure/GDP,31
Kuwait,52.401,Expenditure/GDP,1
Mexico,27.073,Expenditure/GDP,66
Morocco,30.123,Expenditure/GDP,22
Netherlands,46.581,Expenditure/GDP,104
New Zealand,42.409,Expenditure/GDP,3
Nigeria,13.297,Expenditure/GDP,21
Norway,48.185,Expenditure/GDP,9
Panama,24.829,Expenditure/GDP,0
Paraguay,25.309,Expenditure/GDP,31
Peru,23.551,Expenditure/GDP,18
Poland,44.2,Expenditure/GDP,57
Portugal,48.148,Expenditure/GDP,57
Qatar,29.377,Expenditure/GDP,0
Romania,37.51,Expenditure/GDP,29
Russia,35.929,Expenditure/GDP,67
Saudi Arabia,33.238,Expenditure/GDP,14
Senegal,25.739,Expenditure/GDP,18
Serbia,35.125,Expenditure/GDP,63
Slovak Republic,46.833,Expenditure/GDP,4
Slovenia,48.934,Expenditure/GDP,4
South Africa,32.976,Expenditure/GDP,10
Spain,50.601,Expenditure/GDP,110
Sweden,49.857,Expenditure/GDP,70
Switzerland,35.038,Expenditure/GDP,50
Togo,22.952,Expenditure/GDP,0
Trinidad and Tobago,32.196,Expenditure/GDP,1
Tunisia,33.184,Expenditure/GDP,14
T¸rkiye,31.198,Expenditure/GDP,16
Ukraine,40.266,Expenditure/GDP,7
United Arab Emirates,28.896,Expenditure/GDP,0
United States,42.364,Expenditure/GDP,35
Uruguay,30.918,Expenditure/GDP,88
Algeria,535.8,"GDP (PPP, billions)",12
Angola,222.77,"GDP (PPP, billions)",2
Argentina,1083.36,"GDP (PPP, billions)",157
Australia,1453.55,"GDP (PPP, billions)",16
Austria,534.57,"GDP (PPP, billions)",40
Belgium,659.25,"GDP (PPP, billions)",73
Bolivia,106.86,"GDP (PPP, billions)",1
Bosnia and Herzegovina,56.65,"GDP (PPP, billions)",3
Brazil,3435.87,"GDP (PPP, billions)",247
Bulgaria,178.16,"GDP (PPP, billions)",17
Cameroon,110.89,"GDP (PPP, billions)",23
Canada,2024.96,"GDP (PPP, billions)",0
Chile,526.64,"GDP (PPP, billions)",40
Colombia,837.39,"GDP (PPP, billions)",30
Costa Rica,116.87,"GDP (PPP, billions)",23
CÙte d'Ivoire,160.65,"GDP (PPP, billions)",10
Croatia,132.62,"GDP (PPP, billions)",44
Czech Republic,471.76,"GDP (PPP, billions)",41
Denmark,374.03,"GDP (PPP, billions)",33
Ecuador,208.6,"GDP (PPP, billions)",17
Egypt,1455.5,"GDP (PPP, billions)",2
France,3358.91,"GDP (PPP, billions)",130
Germany,4888.36,"GDP (PPP, billions)",225
Ghana,196.05,"GDP (PPP, billions)",18
Greece,344.17,"GDP (PPP, billions)",8
Honduras,62.92,"GDP (PPP, billions)",3
Hungary,362,"GDP (PPP, billions)",48
Iceland,22.12,"GDP (PPP, billions)",1
Islamic Republic of Iran,1449.33,"GDP (PPP, billions)",13
Israel,437.08,"GDP (PPP, billions)",2
Italy,2734.61,"GDP (PPP, billions)",156
Jamaica,29.8,"GDP (PPP, billions)",3
Japan,5606.55,"GDP (PPP, billions)",27
Korea,2517.13,"GDP (PPP, billions)",31
Mexico,2669.06,"GDP (PPP, billions)",66
Morocco,333.242,"GDP (PPP, billions)",22
Netherlands,1095.45,"GDP (PPP, billions)",104
New Zealand,238.148,"GDP (PPP, billions)",3
Nigeria,"1,154.07","GDP (PPP, billions)",21
Norway,383.373,"GDP (PPP, billions)",9
Panama,138.809,"GDP (PPP, billions)",0
Paraguay,100.9,"GDP (PPP, billions)",31
Peru,474.37,"GDP (PPP, billions)",18
Poland,1437.81,"GDP (PPP, billions)",57
Portugal,379.69,"GDP (PPP, billions)",57
Romania,651.64,"GDP (PPP, billions)",29
Russia,4494.22,"GDP (PPP, billions)",67
Saudi Arabia,1751.18,"GDP (PPP, billions)",14
Senegal,64.81,"GDP (PPP, billions)",18
Serbia,148.68,"GDP (PPP, billions)",63
Slovenia,93.14,"GDP (PPP, billions)",4
South Africa,868.58,"GDP (PPP, billions)",10
Spain,1983.11,"GDP (PPP, billions)",110
Sweden,622.83,"GDP (PPP, billions)",70
Switzerland,674.01,"GDP (PPP, billions)",50
Togo,20.18,"GDP (PPP, billions)",0
Trinidad and Tobago,37.81,"GDP (PPP, billions)",14
Tunisia,138.39,"GDP (PPP, billions)",16
T¸rkiye,2953.94,"GDP (PPP, billions)",7
Ukraine,588.45,"GDP (PPP, billions)",0
United Arab Emirates,724.07,"GDP (PPP, billions)",35
Uruguay,85.86,"GDP (PPP, billions)",88
Algeria,-1.01,Voice and Accountability index,12
Angola,-0.84,Voice and Accountability index,2
Argentina,0.62,Voice and Accountability index,157
Australia,1.38,Voice and Accountability index,16
Austria,1.4,Voice and Accountability index,40
Belgium,1.28,Voice and Accountability index,73
Bolivia,-0.11,Voice and Accountability index,1
Bosnia and Herzegovina,-0.31,Voice and Accountability index,3
Brazil,0.28,Voice and Accountability index,247
Bulgaria,0.29,Voice and Accountability index,17
Cameroon,-1.16,Voice and Accountability index,23
Canada,1.46,Voice and Accountability index,0
Chile,0.97,Voice and Accountability index,40
China,-1.64,Voice and Accountability index,0
Colombia,0.1,Voice and Accountability index,30
Costa Rica,1.09,Voice and Accountability index,23
Croatia,0.61,Voice and Accountability index,44
Czech Republic[d],1.02,Voice and Accountability index,41
Denmark,1.56,Voice and Accountability index,33
DR Congo[f],-1.2,Voice and Accountability index,0
Ecuador,0.11,Voice and Accountability index,17
Egypt,-1.51,Voice and Accountability index,2
El Salvador,-0.06,Voice and Accountability index,0
England,1.3,Voice and Accountability index,118
France,1.12,Voice and Accountability index,130
Germany[a],1.43,Voice and Accountability index,225
Ghana,0.47,Voice and Accountability index,18
Greece,0.96,Voice and Accountability index,8
Haiti,-0.95,Voice and Accountability index,0
Honduras,-0.59,Voice and Accountability index,3
Hungary,0.4,Voice and Accountability index,48
Iceland,1.37,Voice and Accountability index,1
Indonesia[e],0.16,Voice and Accountability index,0
Iran,-1.47,Voice and Accountability index,13
Iraq,-0.96,Voice and Accountability index,0
Israel,0.68,Voice and Accountability index,2
Italy,1.1,Voice and Accountability index,156
Ivory Coast,-0.47,Voice and Accountability index,10
Jamaica,0.63,Voice and Accountability index,3
Japan,1.08,Voice and Accountability index,27
Kuwait,-0.7,Voice and Accountability index,1
Mexico,-0.07,Voice and Accountability index,66
Morocco,-0.61,Voice and Accountability index,22
Netherlands,1.5,Voice and Accountability index,104
New Zealand,1.62,Voice and Accountability index,3
Nigeria,-0.64,Voice and Accountability index,21
North Korea,-2.07,Voice and Accountability index,4
Norway,1.75,Voice and Accountability index,9
Panama,0.55,Voice and Accountability index,0
Paraguay,0.01,Voice and Accountability index,31
Peru,0.18,Voice and Accountability index,18
Poland,0.59,Voice and Accountability index,57
Portugal,1.26,Voice and Accountability index,57
Qatar,-1.17,Voice and Accountability index,0
Republic of Ireland,1.43,Voice and Accountability index,14
Romania,0.6,Voice and Accountability index,29
Russia[b],-1.1,Voice and Accountability index,67
Saudi Arabia,-1.59,Voice and Accountability index,14
Senegal,0.19,Voice and Accountability index,18
Serbia[c],-0.12,Voice and Accountability index,63
Slovakia,0.91,Voice and Accountability index,4
Slovenia,0.91,Voice and Accountability index,4
South Africa,0.79,Voice and Accountability index,10
South Korea,0.93,Voice and Accountability index,31
Spain,1.01,Voice and Accountability index,110
Sweden,1.51,Voice and Accountability index,70
Switzerland,1.55,Voice and Accountability index,50
Togo,-0.79,Voice and Accountability index,0
Trinidad and Tobago,0.67,Voice and Accountability index,1
Tunisia,0.19,Voice and Accountability index,14
Turkey,-0.86,Voice and Accountability index,16
Ukraine,0.08,Voice and Accountability index,7
United States,0.9,Voice and Accountability index,35
Uruguay,1.3,Voice and Accountability index,88
