Country,value,type,pts
Angola,4.64,gdp,2
Argentina,1.96,gdp,157
Australia,4.55,gdp,16
Austria,1453.55,gdp,40
Belgium,202.8,gdp,73
Bolivia,8.92,gdp,1
Bosnia and Herzegovina,106.86,gdp,3
Brazil,42.2,gdp,247
Bulgaria,29.42,gdp,17
Cameroon,79.32,gdp,23
Canada,110.89,gdp,0
Chile,27.04,gdp,40
China,526.64,gdp,0
Colombia,1465.54,gdp,30
Costa Rica,116.87,gdp,23
CÙte d'Ivoire,160.65,gdp,10
Croatia,132.62,gdp,44
Czech Republic,471.76,gdp,41
Denmark,374.03,gdp,33
Ecuador,208.6,gdp,17
Egypt,1455.5,gdp,2
El Salvador,63.02,gdp,0
England,3776,gdp,118
France,3358.91,gdp,130
Germany,4888.36,gdp,225
Ghana,196.05,gdp,18
Greece,344.17,gdp,8
Haiti,36.1,gdp,0
Honduras,62.92,gdp,3
Hungary,362,gdp,48
Iceland,22.12,gdp,1
Indonesia,3566.26,gdp,0
Islamic Republic of Iran,1449.33,gdp,13
Ireland,570.72,gdp,14
Iraq,447.9,gdp,0
Israel,437.08,gdp,2
Italy,2734.61,gdp,156
Jamaica,29.8,gdp,3
Japan,5606.55,gdp,27
Korea,2517.13,gdp,31
Kuwait,213.16,gdp,1
Mexico,2669.06,gdp,66
Morocco,333.24,gdp,22
Netherlands,1095.45,gdp,104
New Zealand,238.15,gdp,3
Nigeria,1154.07,gdp,21
Norway,383.37,gdp,9
Panama,138.81,gdp,0
Paraguay,100.9,gdp,31
Peru,474.37,gdp,18
Poland,1437.81,gdp,57
Portugal,379.69,gdp,57
Qatar,274.25,gdp,0
Romania,651.64,gdp,29
Russia,4494.22,gdp,67
Saudi Arabia,1751.18,gdp,14
Senegal,64.81,gdp,18
Serbia,1.38,gdp,63
Slovak Republic,193.62,gdp,4
Slovenia,93.14,gdp,4
South Africa,868.58,gdp,10
Spain,1983.11,gdp,110
Sweden,622.83,gdp,70
Switzerland,674.01,gdp,50
Togo,20.18,gdp,0
Trinidad and Tobago,37.81,gdp,1
Tunisia,138.39,gdp,14
T¸rkiye,2953.94,gdp,16
Ukraine,588.45,gdp,7
United Arab Emirates,724.07,gdp,0
United States,,gdp,35
Uruguay,85.86,gdp,88
